"cat01_code","(F002-22-009)被害項目","area_code","(F002-22-1)全国農業地域・都道府県","unit","value"
"006","合計_被害率","N0011","九州","%","14.4"
"006","合計_被害率","N0012","沖縄","%","11.4"
"006","合計_被害率","01000","北海道","%","9.8"
"006","合計_被害率","02000","青森県","%","8.7"
"006","合計_被害率","03000","岩手県","%","5.5"
"006","合計_被害率","04000","宮城県","%","8.6"
"006","合計_被害率","05000","秋田県","%","15.0"
"006","合計_被害率","06000","山形県","%","8.8"
"006","合計_被害率","07000","福島県","%","5.4"
"006","合計_被害率","08000","茨城県","%","10.8"
"006","合計_被害率","09000","栃木県","%","10.8"
"006","合計_被害率","10000","群馬県","%","30.4"
"006","合計_被害率","11000","埼玉県","%","21.3"
"006","合計_被害率","12000","千葉県","%","4.5"
"006","合計_被害率","13000","東京都","%","7.7"
"006","合計_被害率","14000","神奈川県","%","6.0"
"006","合計_被害率","15000","新潟県","%","6.7"
"006","合計_被害率","16000","富山県","%","2.2"
"006","合計_被害率","17000","石川県","%","2.3"
"006","合計_被害率","18000","福井県","%","4.0"
"006","合計_被害率","19000","山梨県","%","8.9"
"006","合計_被害率","20000","長野県","%","6.5"
"006","合計_被害率","21000","岐阜県","%","9.6"
"006","合計_被害率","22000","静岡県","%","9.3"
"006","合計_被害率","23000","愛知県","%","7.8"
"006","合計_被害率","24000","三重県","%","7.2"
"006","合計_被害率","25000","滋賀県","%","8.5"
"006","合計_被害率","26000","京都府","%","5.4"
"006","合計_被害率","27000","大阪府","%","10.1"
"006","合計_被害率","28000","兵庫県","%","8.4"
"006","合計_被害率","29000","奈良県","%","8.9"
"006","合計_被害率","30000","和歌山県","%","8.7"
"006","合計_被害率","31000","鳥取県","%","8.4"
"006","合計_被害率","32000","島根県","%","14.4"
"006","合計_被害率","33000","岡山県","%","11.5"
"006","合計_被害率","34000","広島県","%","8.2"
"006","合計_被害率","35000","山口県","%","10.0"
"006","合計_被害率","36000","徳島県","%","12.6"
