"cat01_code","(F002-30-1-011)被害項目","cat02_code","(F002-30-1-012)被害量","cat03_code","(F002-30-2-006)全国農業地域別・都道府県","unit","value"
"001","被害面積","004","病害_いもち病","054","(都道府県)_長崎","ha","1610"
"001","被害面積","004","病害_いもち病","055","(都道府県)_熊本","ha","7840"
"001","被害面積","004","病害_いもち病","056","(都道府県)_大分","ha","7500"
"001","被害面積","004","病害_いもち病","057","(都道府県)_宮崎","ha","8440"
"001","被害面積","004","病害_いもち病","058","(都道府県)_鹿児島","ha","10700"
"001","被害面積","004","病害_いもち病","059","(都道府県)_沖縄","ha","7"
"001","被害面積","004","病害_いもち病","060","関東農政局","ha","42900"
"001","被害面積","004","病害_いもち病","061","東海農政局","ha","18400"
"001","被害面積","004","病害_いもち病","062","中国四国農政局","ha","32600"
"001","被害面積","005","虫害_ウンカ","001","全国","ha","48300"
"001","被害面積","005","虫害_ウンカ","002","(全国農業地域)_北海道","ha","506"
"001","被害面積","005","虫害_ウンカ","003","(全国農業地域)_都府県","ha","47800"
"001","被害面積","005","虫害_ウンカ","004","(全国農業地域)_東北","ha","3600"
"001","被害面積","005","虫害_ウンカ","005","(全国農業地域)_北陸","ha","3470"
"001","被害面積","005","虫害_ウンカ","006","(全国農業地域)_関東・東山","ha","15300"
"001","被害面積","005","虫害_ウンカ","007","(全国農業地域)_東海","ha","4590"
"001","被害面積","005","虫害_ウンカ","008","(全国農業地域)_近畿","ha","5110"
"001","被害面積","005","虫害_ウンカ","009","(全国農業地域)_中国","ha","3450"
"001","被害面積","005","虫害_ウンカ","010","(全国農業地域)_四国","ha","3180"
"001","被害面積","005","虫害_ウンカ","011","(全国農業地域)_九州","ha","9130"
"001","被害面積","005","虫害_ウンカ","012","(全国農業地域)_沖縄","ha","－"
"001","被害面積","005","虫害_ウンカ","013","(都道府県)_北海道","ha","506"
"001","被害面積","005","虫害_ウンカ","014","(都道府県)_青森","ha","570"
"001","被害面積","005","虫害_ウンカ","015","(都道府県)_岩手","ha","25"
"001","被害面積","005","虫害_ウンカ","016","(都道府県)_宮城","ha","60"
"001","被害面積","005","虫害_ウンカ","017","(都道府県)_秋田","ha","733"
"001","被害面積","005","虫害_ウンカ","018","(都道府県)_山形","ha","1690"
"001","被害面積","005","虫害_ウンカ","019","(都道府県)_福島","ha","520"
"001","被害面積","005","虫害_ウンカ","020","(都道府県)_茨城","ha","868"
"001","被害面積","005","虫害_ウンカ","021","(都道府県)_栃木","ha","2900"
"001","被害面積","005","虫害_ウンカ","022","(都道府県)_群馬","ha","1750"
"001","被害面積","005","虫害_ウンカ","023","(都道府県)_埼玉","ha","6000"
"001","被害面積","005","虫害_ウンカ","024","(都道府県)_千葉","ha","90"
"001","被害面積","005","虫害_ウンカ","025","(都道府県)_東京","ha","1"
